tag	exercise_code
Cervical flexion sitting	XGEN2068
Cervical flexion standing	XGEN28
Cervical flexion supine	GEN17757
Abduction against band (knee bent)	GEN119722
Cervical extension sitting	XGEN27
Cervical extension standing	XGEN27
R Cervical side flexion sitting	GEN101732
L Cervical side flexion sitting	GEN102042
R Cervical side flexion standing	XGEN24
L Cervical side flexion standing	XGEN24
R Cervical side rotation sitting	XGEN25
L Cervical side rotation sitting	XGEN25
R Cervical side rotation standing	XGEN2065
L Cervical side rotation standing	XGEN2065
Chin tuck/ cervical retraction sitting	XGEN26
Chin tuck/ cervical retraction standing	XGEN26
Chin tuck/ cervical retraction supine	XGEN38
Chin tuck/ cervical retraction prone	GEN279363
Neck rotation (circumduction)	GEN100725
Cervical flexion isometric	XGEN29
Cervical extension isometric	GEN118611
R Cervical side flexion isometric	XGEN420
L Cervical side flexion isometric	XGEN420
R Cervical rotation isometric	XGEN30
L Cervical rotation isometric	XGEN30
R Upper trapezius/ Middle scalene stretch	XGEN33
L Upper trapezius/ Middle scalene stretch	XGEN33
R Anterior scalene stretch	GEN99532
L Anterior scalene stretch	GEN99532
R Posterior scalene/ Levator scapulae stretch	GEN13736
L Posterior scalene/ Levator scapulae stretch	GEN13736
Neck traction	GEN98302
R Shoulder flexion standing (180)	GEN98718
L Shoulder flexion standing (180)	GEN98718
R Shoulder flexion crook lying (180)	GEN97567
L Shoulder flexion crook lying(180)	GEN97567
R Shoulder flexion standing (90)	GEN91174
L Shoulder flexion standing (90)	GEN91174
R Shoulder flexion crook lying (90)	GEN196508
L Shoulder flexion crook lying (90)	GEN196508
R Shoulder Extension standing	XGEN128
L Shoulder Extension standing	XGEN128
R Shoulder Extension prone	GEN16237
L Shoulder Extension prone	GEN16237
R Shoulder Abduction (180)	GEN98721
L Shoulder Abduction (180)	GEN98721
R Shoulder Abduction (90)	GEN91175
L Shoulder Abduction (90)	GEN91175
R Shoulder External rotation at 0 standing	XGEN74
L Shoulder External rotation at 0 standing	XGEN74
R Shoulder External rotation at 0 side lying	GEN284403
L Shoulder External rotation at 0 side lying	GEN284403
R Shoulder External rotation at 90 standing	GEN86750
L Shoulder External rotation at 90 standing	GEN86750
